FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
29115,21280271.78,22853338.32,206.78, ,,,,,,
29117,20937274.32,22229769.25,166.3, ,,,,,,
29121,24889573.07,26359826.58,167.65, ,,,,,,
29123,19454198.91,20662701.78,267.96, ,,,,,,
29125,11484871.78,11988588.85,216.27, ,,,,,,
29127,37705689.7,38031192.25,336.6, ,,,,,,
29119,20605858.06,21769863.22,165.04, ,,,,,,
29129,5269964.42,5584989.23,109.93, ,,,,,,
29131,30261982.3,31267417.87,124.06, ,,,,,,
29133,20693482.54,21355235.22,394.64, ,,,,,,
29135,16010159.43,16847152.74,182.49, ,,,,,,
29137,12694634.88,13075013.14,299.73, ,,,,,,
29139,16726198.54,17497665.94,212.71, ,,,,,,
29141,33140539.09,34143399.98,155.57, ,,,,,,
29143,27075168.8,28221897.88,309.55, ,,,,,,
29145,61834237.42,64729218.35,207.69, ,,,,,,
29147,25055132.04,25199671.62,255.99, ,,,,,,
29149,13191295.98,13751229.0,107.31, ,,,,,,
29151,13763779.75,14619754.42,166.46, ,,,,,,
29153,11941048.32,12680831.69,103.32, ,,,,,,
29155,28038754.67,29093167.42,255.64, ,,,,,,
29157,25660974.65,27810474.51,241.99, ,,,,,,
29159,43204348.05,44968941.53,195.13, ,,,,,,
29161,55012148.64,56431278.5,239.87, ,,,,,,
29163,20775076.48,21782561.04,279.67, ,,,,,,
29165,63849070.14,65774193.14,277.1, ,,,,,,
29167,28582421.62,29432864.51,290.31, ,,,,,,
29169,35080901.46,35812615.97,249.85, ,,,,,,
29171,11012970.22,11474512.56,170.37, ,,,,,,
29173,10622400.25,10807793.8,208.51, ,,,,,,
29175,30425918.78,31632610.58,239.25, ,,,,,,
29177,31001785.53,32771750.81,167.3, ,,,,,,
29179,12294042.69,12963741.98,292.48, ,,,,,,
29181,25336627.12,26014233.47,280.21, ,,,,,,
